date,sales,cost of sales,gross profit, sales and general administrative expenses,R&D expenses,operating profit,EBITDA,non-operating profit,corporate tax, Discontinued operations net income,net profit,cash equivalents,Total assets,total liabilities,total capital,sales activity,investment activity,finance activity,subscribers(millions)
14.1 quarter,1270,869,401,193,110,98,728,1.4,36,0,29,1157,6048,4570,1478,36,58,458,46.13
14.3 quarter,1409,954,455,224,121,110,830,0.62,38,0,59,1183,6778,5053,1725,-37,-20,31,50.65
15.1 quarter,1573,1046,527,286,143,97,851,-32,15,0,24,2455,9241,7331,1909,-127,-43,1522,59.62
15.3 quarter,1738,1174,564,319,172,74,984,4,13,0,29,2115,9916,7749,2167,-196,-47,73,66.02
16.1 quarter,1958,1370,588,335,204,49,1169,26,12,0,28,1605,11262,8945,2317,-229,4,15,77.71
16.3 quarter,2290,1533,757,435,216,106,1372,9,28,0,52,969,12347,9818,2529,-462,24,17,83.28
17.1 quarter,2637,1657,980,466,257,257,1610,14,46,0,178,1078,14359,11385,2974,-344,-76,24,94.36
17.3 quarter,2985,1993,992,528,255,209,1837,-32,-13,0,130,1746,16952,13624,3327,-420,202,34,104.02
18.1 quarter,3701,2301,1400,671,282,447,2160,-66,9,0,290,2594,20153,16132,4021,-237,-50,56,118.90
18.3 quarter,3999,2531,1468,679,309,481,2431,7,-24,0,403,3068,23366,18357,5010,-690,-169,29,130.42
19.1 quarter,4521,2871,1650,819,373,459,2683,76,56,0,344,3349,27219,21516,5703,-380,-80,23,148.86
19.3 quarter,5245,3098,2147,787,380,980,3480,193,347,0,665,4435,30942,24080,6862,-502,-49,12,158.33
20.1 quarter,5768,3600,2168,756,454,958,3492,22,87,0,709,5152,35060,26651,8409,260,-98,44,182.86
20.3 quarter,6436,3868,2568,799,454,1315,3821,-256,71,0,790,8392,38623,28289,10333,1264,-119,69,195.15
21.1 quarter,7163,3869,3295,810,525,1960,4984,269,328,0,1707,8404,40123,27239,12884,777,-86,-452,207.64
21.3 quarter,7483,4207,3277,958,564,1755,4885,96,212,0,1449,7527,42740,27425,15315,82,-189,-82,213.56
22.1 quarter,7868,4285,3583,954,658,1972,5408,196,382,0,1597,6009,45331,27787,17544,923,-246,-686,221.64
22.3 quarter,7926,4789,3137,941,663,1533,5533,261,224,0,1398,6114,47562,27034,20528,557,-85,4,223.09
23.1 quarter,8162,4804,3358,956,687,1714,5193,-71,164,0,1305,6715,49490,27662,21828,2179,-264,-374,232.50
